Date,Open,High,Low,Close,Volume,Market
"Jan 27, 2018",1.22,1.22,1.19,1.22,689101000,47180200000
"Jan 26, 2018",1.31,1.31,1.14,1.22,2037570000,50706400000
"Jan 25, 2018",1.36,1.36,1.29,1.31,986068000,52811100000
"Jan 24, 2018",1.35,1.35,1.31,1.36,1853440000,52380100000
"Jan 23, 2018",1.35,1.35,1.2,1.34,2977080000,52421300000
"Jan 22, 2018",1.39,1.39,1.16,1.36,2642510000,53909800000
"Jan 21, 2018",1.58,1.58,1.34,1.38,2840750000,61061900000
"Jan 20, 2018",1.56,1.56,1.5,1.58,2346450000,60543000000
"Jan 19, 2018",1.58,1.58,1.5,1.55,3697430000,61291900000
"Jan 18, 2018",1.31,1.31,1.26,1.6,9110440000,50577100000
"Jan 17, 2018",1.18,1.18,0.897797,1.31,7251210000,45854700000
"Jan 16, 2018",1.68,1.68,0.9093129999999999,1.18,5687960000,65018400000
"Jan 15, 2018",1.86,1.86,1.67,1.68,1838460000,71909400000
"Jan 14, 2018",2.02,2.02,1.81,1.86,1978200000,78195800000
"Jan 13, 2018",2.05,2.05,1.98,2.02,2130170000,79469700000
"Jan 12, 2018",1.94,1.94,1.87,2.04,3330810000,75172500000
"Jan 11, 2018",1.98,1.98,1.62,1.95,6296120000,76711800000
"Jan 10, 2018",2.13,2.13,1.7,1.97,4833640000,82511000000
"Jan 09, 2018",2.44,2.44,1.98,2.1,3694700000,94657500000
"Jan 08, 2018",3.36,3.36,2.07,2.46,3315260000,130302000000
"Jan 07, 2018",3.09,3.09,3.08,3.38,2395150000,119819000000
"Jan 06, 2018",3.02,3.02,2.99,3.09,2777560000,117033000000
"Jan 05, 2018",3.3,3.3,2.83,3.05,6288500000,127870000000
"Jan 04, 2018",3.12,3.12,3.12,3.2,8103660000,120763000000
"Jan 03, 2018",2.46,2.46,2.44,3.11,6635880000,95457200000
"Jan 02, 2018",2.37,2.37,2.25,2.48,3171010000,91791800000
"Jan 01, 2018",2.3,2.3,2.15,2.39,1894230000,88945900000
"Dec 31, 2017",2.1,2.1,1.87,2.3,4642080000,81162600000
"Dec 30, 2017",2.2,2.2,2.04,2.16,8108390000,85187400000
"Dec 29, 2017",1.44,1.44,1.44,2.21,7545740000,55767500000
"Dec 28, 2017",1.39,1.39,1.26,1.43,2843300000,53998200000
"Dec 27, 2017",1.18,1.18,1.18,1.4,2854260000,45875700000
"Dec 26, 2017",1.12,1.12,1.09,1.19,938847000,43455400000
"Dec 25, 2017",1.05,1.05,1.0,1.12,686014000,40506000000
"Dec 24, 2017",1.18,1.18,0.911226,1.04,754959000,45541100000
"Dec 23, 2017",1.17,1.17,1.08,1.17,1497590000,45167600000
"Dec 22, 2017",1.17,1.17,0.741013,1.14,4644700000,45189500000
"Dec 21, 2017",0.782515,0.782515,0.782515,1.19,3626110000,30314000000
"Dec 20, 2017",0.787171,0.787171,0.730953,0.775964,1007420000,30494300000
"Dec 19, 2017",0.777447,0.777447,0.756724,0.791257,1449670000,30117600000
"Dec 18, 2017",0.728036,0.728036,0.6893229999999999,0.778407,1342720000,28203500000
"Dec 17, 2017",0.754125,0.754125,0.719929,0.728366,805200000,29214200000
"Dec 16, 2017",0.7554930000000001,0.7554930000000001,0.741667,0.758642,1334770000,29267100000
"Dec 15, 2017",0.8617600000000001,0.8617600000000001,0.666114,0.756181,3194210000,33383900000
"Dec 14, 2017",0.47064799999999996,0.47064799999999996,0.466401,0.8642629999999999,6358700000,18232500000
"Dec 13, 2017",0.372689,0.372689,0.342964,0.471063,2738760000,14437600000
"Dec 12, 2017",0.252258,0.252258,0.250961,0.373541,1555040000,9772240000
"Dec 11, 2017",0.23657399999999998,0.23657399999999998,0.23580399999999999,0.251691,176101000,9164670000
"Dec 10, 2017",0.245548,0.245548,0.229304,0.237333,198174000,9512330000
"Dec 09, 2017",0.252162,0.252162,0.240073,0.24470799999999998,205289000,9768540000
"Dec 08, 2017",0.223636,0.223636,0.22216799999999998,0.252125,660172000,8663460000
"Dec 07, 2017",0.232623,0.232623,0.22134,0.222823,275205000,9011630000
"Dec 06, 2017",0.245416,0.245416,0.227742,0.232544,274526000,9507190000
"Dec 05, 2017",0.253598,0.253598,0.245234,0.24610100000000001,174591000,9815990000
"Dec 04, 2017",0.252919,0.252919,0.24716,0.253571,104650000,9768480000
"Dec 03, 2017",0.25553000000000003,0.25553000000000003,0.24739099999999997,0.252558,134710000,9869310000
"Dec 02, 2017",0.255656,0.255656,0.250756,0.255492,118250000,9874190000
"Dec 01, 2017",0.250352,0.250352,0.239438,0.25569899999999995,182992000,9669290000
"Nov 30, 2017",0.24643299999999999,0.24643299999999999,0.229586,0.25087800000000005,270907000,9517940000
"Nov 29, 2017",0.297867,0.297867,0.239409,0.24306399999999997,541178000,11504500000
"Nov 28, 2017",0.254037,0.254037,0.253415,0.299152,720743000,9811650000
"Nov 27, 2017",0.24830500000000003,0.24830500000000003,0.24786100000000003,0.253927,196735000,9590240000
"Nov 26, 2017",0.25291399999999997,0.25291399999999997,0.24858899999999998,0.24881799999999998,133297000,9768270000
"Nov 25, 2017",0.244178,0.244178,0.24358400000000002,0.252393,212593000,9430850000
"Nov 24, 2017",0.242851,0.242851,0.238421,0.244642,211486000,9379600000
"Nov 23, 2017",0.23899099999999998,0.23899099999999998,0.237304,0.242402,240685000,9230520000
"Nov 22, 2017",0.23264200000000002,0.23264200000000002,0.232317,0.23885900000000002,167078000,8985300000
"Nov 21, 2017",0.23797800000000002,0.23797800000000002,0.2272,0.233271,217851000,9191390000
"Nov 20, 2017",0.231336,0.231336,0.230917,0.23875900000000003,214663000,8934850000
"Nov 19, 2017",0.22814,0.22814,0.226037,0.231016,193808000,8811410000
"Nov 18, 2017",0.22654699999999997,0.22654699999999997,0.22239899999999999,0.228627,144298000,8749900000
"Nov 17, 2017",0.224768,0.224768,0.220273,0.226581,397071000,8681190000
"Nov 16, 2017",0.212655,0.212655,0.209287,0.227107,1022580000,8213360000
"Nov 15, 2017",0.20893699999999998,0.20893699999999998,0.208058,0.212956,100294000,8069730000
"Nov 14, 2017",0.203679,0.203679,0.203679,0.209825,127361000,7866670000
"Nov 13, 2017",0.197472,0.197472,0.197456,0.203442,132567000,7608890000
"Nov 12, 2017",0.21021399999999998,0.21021399999999998,0.195389,0.19733900000000001,251175000,8099860000
"Nov 11, 2017",0.205948,0.205948,0.205459,0.21043,134503000,7935490000
"Nov 10, 2017",0.218256,0.218256,0.20526,0.206483,141033000,8409740000
"Nov 09, 2017",0.21791100000000002,0.21791100000000002,0.21486599999999997,0.21748800000000001,147917000,8396440000
"Nov 08, 2017",0.210675,0.210675,0.20806,0.217437,156959000,8117620000
"Nov 07, 2017",0.205103,0.205103,0.203978,0.21035399999999999,114073000,7902920000
"Nov 06, 2017",0.201967,0.201967,0.20140999999999998,0.20599,102233000,7782080000
"Nov 05, 2017",0.203274,0.203274,0.20111700000000002,0.20205499999999998,46959000,7832450000
"Nov 04, 2017",0.208083,0.208083,0.20213299999999998,0.20375,74013200,8017770000
"Nov 03, 2017",0.20620500000000003,0.20620500000000003,0.201728,0.20813299999999998,373402000,7945410000
"Nov 02, 2017",0.194596,0.194596,0.183815,0.20586100000000002,197770000,7498090000
"Nov 01, 2017",0.200247,0.200247,0.193613,0.194124,67921000,7715840000
"Oct 31, 2017",0.202405,0.202405,0.200461,0.200558,43875700,7798990000
"Oct 30, 2017",0.203076,0.203076,0.20194600000000001,0.202711,34835100,7824820000
"Oct 29, 2017",0.20135799999999998,0.20135799999999998,0.200075,0.202785,62511100,7758640000
"Oct 28, 2017",0.202592,0.202592,0.201401,0.201835,26864900,7806200000
"Oct 27, 2017",0.20366800000000002,0.20366800000000002,0.201771,0.202785,29623000,7847650000
"Oct 26, 2017",0.20444400000000001,0.20444400000000001,0.20265999999999998,0.203628,38193100,7877530000
"Oct 25, 2017",0.20711300000000002,0.20711300000000002,0.201803,0.204604,75017500,7980370000
"Oct 24, 2017",0.19556700000000002,0.19556700000000002,0.19045499999999999,0.206644,220081000,7535480000
"Oct 23, 2017",0.203504,0.203504,0.190729,0.196928,99914800,7841330000
"Oct 22, 2017",0.21095799999999998,0.21095799999999998,0.200722,0.204177,75849500,8128520000
"Oct 21, 2017",0.210189,0.210189,0.200774,0.21101599999999998,116807000,8098920000
"Oct 20, 2017",0.215086,0.215086,0.208754,0.210549,182704000,8287600000
"Oct 19, 2017",0.218229,0.218229,0.208317,0.21515,304542000,8408710000
"Oct 18, 2017",0.23121599999999998,0.23121599999999998,0.207265,0.21852,354225000,8909100000
"Oct 17, 2017",0.256098,0.256098,0.222939,0.232064,411265000,9867860000
"Oct 16, 2017",0.263386,0.263386,0.24900999999999998,0.256232,963158000,10148700000
"Oct 15, 2017",0.257537,0.257537,0.249048,0.26398299999999997,280211000,9923310000
